"Year","Month","Site_No","No_Readings","Ave"
1959,10,13,0,-1
1959,11,7,0,-1
1959,11,13,0,-1
1959,12,7,0,-1
1959,12,13,0,-1
1960,1,7,0,-1
1960,1,13,0,-1
1960,2,7,0,-1
1960,2,13,0,-1
1960,3,7,0,-1
1960,3,13,0,-1
1960,4,7,0,-1
1960,4,13,0,-1
1960,5,7,0,-1
1960,5,13,0,-1
1960,6,7,0,-1
1960,6,13,0,-1
1960,7,7,0,-1
1960,7,13,0,-1
1960,8,7,0,-1
1960,8,13,0,-1
1960,9,7,0,-1
1960,9,13,0,-1
1960,10,7,0,-1
1960,10,13,0,-1
1960,11,7,0,-1
1960,11,13,0,-1
1960,12,7,0,-1
1960,12,13,0,-1
1961,1,7,31,5.5
1961,1,13,0,-1
1961,2,7,28,5.08
1961,2,13,0,-1
1961,3,7,31,4.99
1961,3,13,0,-1
1961,4,7,30,3.15
1961,4,13,0,-1
1961,5,7,31,4.27
1961,5,13,0,-1
1961,6,7,30,3.76
1961,6,13,0,-1
1961,7,7,31,4.16
1961,7,13,0,-1
1961,8,7,31,4.14
1961,8,13,31,3.8
1961,9,7,30,3.34
1961,9,13,30,3.59
1961,10,7,31,4.13
1961,10,13,31,4.52
1961,11,7,30,4.42
1961,11,13,30,4.1
1961,12,7,31,4.34
1961,12,13,30,4.85
1962,1,7,31,5.98
1962,1,13,31,6.21
1962,2,7,28,6.34
1962,2,13,28,5.89
1962,3,7,31,3.53
1962,3,13,31,3.76
1962,4,7,30,5.71
1962,4,13,30,5.14
1962,5,7,31,4.86
1962,5,13,31,4.09
1962,6,7,30,4.22
1962,6,13,30,3.25
1962,7,7,31,4.06
1962,7,13,31,3.4
1962,8,7,31,4.75
1962,8,13,31,4.48
1962,9,7,30,4.02
1962,9,13,30,4.01
1962,10,7,31,3.5
1962,10,13,31,3.61
1962,11,7,30,3.85
1962,11,13,30,3.7
1962,12,7,31,4.39
1962,12,13,31,4.85
1963,1,7,31,4.3
1963,1,13,31,4.28
1963,2,7,28,3.02
1963,2,13,28,3
1963,3,7,31,4.35
1963,3,13,31,5.19
1963,4,7,30,4.15
1963,4,13,30,3.87
1963,5,7,31,4.13
1963,5,13,31,3.91
1963,6,7,30,4.61
1963,6,13,30,4.05
1963,7,7,31,3.29
1963,7,13,31,3.14
1963,8,7,31,3.98
1963,8,13,31,4.27
1963,9,7,30,3.74
1963,9,13,30,3.64
1963,10,7,31,4.34
1963,10,13,31,3.76
1963,11,7,30,5.68
1963,11,13,30,5.9
1963,12,7,31,3.07
1963,12,13,31,3.85
1964,1,7,31,3.52
1964,1,13,31,3.82
1964,2,7,29,4.67
1964,2,13,29,4.23
1964,3,7,31,4.55
1964,3,13,31,4.7
1964,4,7,30,4.65
1964,4,13,30,4.71
1964,5,7,31,4.24
1964,5,13,31,3.79
1964,6,7,30,3.84
1964,6,13,30,3.63
1964,7,7,31,4.13
1964,7,13,31,3.51
1964,8,7,31,3.69
1964,8,13,31,3.66
1964,9,7,30,3.92
1964,9,13,30,3.83
1964,10,7,31,3.48
1964,10,13,31,3.81
1964,11,7,30,4.48
1964,11,13,30,4.41
1964,12,7,31,4.81
1964,12,13,31,5.58
1965,1,7,31,4.97
1965,1,13,31,5.78
1965,2,7,28,4.71
1965,2,13,28,3.76
1965,3,7,31,3.66
1965,3,13,31,4.14
1965,4,7,30,3.81
1965,4,13,30,3.83
1965,5,7,31,3.97
1965,5,13,31,4.02
1965,6,7,30,3.9
1965,6,13,30,3.83
1965,7,7,31,4.43
1965,7,13,31,4.5
1965,8,7,31,3.33
1965,8,13,31,3.56
1965,9,7,30,3.78
1965,9,13,30,4.23
1965,10,7,31,3.1
1965,10,13,31,4
1965,11,7,30,5.32
1965,11,13,30,5.74
1965,12,7,31,5.43
1965,12,13,31,6.64
1966,1,7,31,4.15
1966,1,13,31,4.68
1966,2,7,28,5.45
1966,2,13,28,5.58
