"Year","Month","Site_No","No_Readings","Ave"
1995,8,13,31,3.92
1995,9,7,30,4.35
1995,9,13,30,4.83
1995,10,7,31,3.94
1995,10,13,31,3.67
1995,11,7,30,4.36
1995,11,13,30,4.09
1995,12,7,31,4.23
1995,12,13,31,4.15
1996,1,7,31,6.05
1996,1,13,31,4.86
1996,2,7,29,5.39
1996,2,13,29,5.32
1996,3,7,31,5.19
1996,3,13,31,4.34
1996,4,7,30,3.97
1996,4,13,30,3.92
1996,5,7,31,4.79
1996,5,13,31,4.56
1996,6,7,30,3.94
1996,6,13,30,3.77
1996,7,7,31,4.09
1996,7,13,31,4.41
1996,8,7,31,3.86
1996,8,13,31,3.99
1996,9,7,30,4.2
1996,9,13,30,3.89
1996,10,7,31,4.07
1996,10,13,31,4.19
1996,11,7,30,5.3
1996,11,13,30,5.57
1996,12,7,31,4.4
1996,12,13,31,4.28
1997,1,7,31,3.6
1997,1,13,31,3.14
1997,2,7,28,7.38
1997,2,13,28,7.09
1997,3,7,31,4.99
1997,3,13,31,4.38
1997,4,7,30,5.1
1997,4,13,30,4.12
1997,5,7,31,4.19
1997,5,13,31,4.34
1997,6,7,30,4.28
1997,6,13,30,4.25
1997,7,7,31,3.64
1997,7,13,31,3.37
1997,8,7,31,3.34
1997,8,13,31,3.16
1997,9,7,30,3.51
1997,9,13,30,3.35
1997,10,7,31,4.23
1997,10,13,31,4.41
1997,11,7,30,4.76
1997,11,13,30,4.22
1997,12,7,31,5.88
1997,12,13,31,5.81
1998,1,7,31,6
1998,1,13,31,6.31
1998,2,7,28,5.9
1998,2,13,28,4.97
1998,3,7,31,5.63
1998,3,13,31,5.27
1998,4,7,30,4.26
1998,4,13,30,4.8
1998,5,7,31,4.37
1998,5,13,31,3.9
1998,6,7,30,4.4
1998,6,13,30,4.56
1998,7,7,31,4.61
1998,7,13,31,4.8
1998,8,7,31,4.17
1998,8,13,31,3.8
1998,9,7,30,4.14
1998,9,13,30,4.59
1998,10,7,31,6.43
1998,10,13,31,5.97
1998,11,7,30,3.69
1998,11,13,30,4.17
1998,12,7,31,5.47
1998,12,13,31,5.54
1999,1,7,31,5.64
1999,1,13,31,6.24
1999,2,7,28,5.87
1999,2,13,28,5.24
1999,3,7,31,4.33
1999,3,13,31,4.86
1999,4,7,30,4.79
1999,4,13,30,4.54
1999,5,7,31,4.7
1999,5,13,31,4.25
1999,6,7,30,4.03
1999,6,13,30,4.11
1999,7,7,31,4.13
1999,7,13,31,4.01
1999,8,7,31,3.61
1999,8,13,31,3.65
1999,9,7,30,3.89
1999,9,13,30,4.01
1999,10,7,31,5.14
1999,10,13,31,5
1999,11,7,30,4.62
1999,11,13,30,4.99
1999,12,7,31,6.46
1999,12,13,31,6.77
2000,1,7,31,5.98
2000,1,13,31,5.15
2000,2,7,29,6.47
2000,2,13,29,6.24
2000,3,7,31,5.82
2000,3,13,31,4.94
2000,4,7,30,3.96
2000,4,13,30,4.5
2000,5,7,31,4.36
2000,5,13,31,4.02
2000,6,7,30,4.32
2000,6,13,30,4.04
2000,7,7,31,3.85
2000,7,13,31,3.99
2000,8,7,31,3.15
2000,8,13,31,3.02
2000,9,7,30,3.73
2000,9,13,30,3.75
2000,10,7,31,5.43
2000,10,13,31,5.56
2000,11,7,30,5.75
2000,11,13,30,6.45
2000,12,7,31,5.47
2000,12,13,31,5.7
2001,1,7,31,4.27
2001,1,13,31,4.99
2001,2,7,28,4.88
2001,2,13,28,5.04
2001,3,7,31,4.9
2001,3,13,31,4.86
2001,4,7,30,4.79
2001,4,13,30,4.84
2001,5,7,31,4.66
2001,5,13,31,4.59
2001,6,7,30,4.09
2001,6,13,30,3.96
2001,7,7,31,3.83
2001,7,13,31,4.28
2001,8,7,31,3.95
2001,8,13,31,3.92
2001,9,7,30,4.33
2001,9,13,30,4.61
2001,10,7,31,5.25
2001,10,13,31,4.88
2001,11,7,30,4.18
2001,11,13,30,4.04
2001,12,7,31,4.21
2001,12,13,31,4.69
2002,1,7,31,5.88
2002,1,13,31,5.82
2002,2,7,28,7.65
2002,2,13,28,7.83
2002,3,7,31,5.13
2002,3,13,31,4.71
2002,4,7,30,4.37
2002,4,13,30,4.67
2002,5,7,31,4.36
2002,5,13,31,4.27
2002,6,7,30,4.24
2002,6,13,30,3.97
2002,7,7,31,4.39
2002,7,13,31,4.03
2002,8,7,31,2.95
2002,8,13,31,2.8
2002,9,7,30,3.21
2002,9,13,30,3.16
2002,10,7,31,4.96
2002,10,13,31,5.05
2002,11,7,30,3.68
2002,11,13,30,4.26
2002,12,7,31,4.76
2002,12,13,31,4.78
2003,1,7,1,4.23
2003,1,13,1,7.23
